,time,dong,pop,m0,m70,f0,f70,m10,m20,m30,m40,m50,m60,f10,f20,f30,f40,f50,f60
76,0,11215847,25265.8761,605.3126,826.5518,433.9897,1507.3089,612.1962,2401.7972,2221.9016,1893.5763,2042.3388,1362.0235,666.9102,3194.831,2134.9139,1712.5998,1888.2894000000001,1487.5431
77,0,11215850,24871.2877,631.3691,738.7659,474.2571,1277.1086,756.9452,2208.9561,2473.8465,1906.3384,1562.2383,978.0103,747.1816,2922.84,2587.1992,1972.8301,1910.8674,1283.1955
78,0,11215860,21149.2152,710.3983000000001,934.4748,656.6901,1423.5146,894.6170000000001,1169.9676,1417.2051000000001,1669.848,1375.2814,1060.9872,976.124,1449.2913,1723.2969,1983.0979,1801.7306,1387.5239000000001
79,0,11215870,26160.1218,1072.3521,1004.2022,1034.5158,1353.3316,1394.7619,1313.9666,1712.7573,2038.5659,2127.5778,1156.3394,1464.0307,1698.6256,2069.4413,2547.2674,2185.5194,1568.2392
80,0,11230536,37754.1777,906.2282,1677.7889,814.0683,2528.9748,860.832,3224.1388,3418.7812,3099.3801,2769.4311,1831.7160000000001,860.7605,4394.271,3547.3497,2790.232,2524.9761,1923.1456
81,0,11230545,33434.7609,747.2689,1526.9411,539.3663,2552.8565,1259.4493,4581.6435,1928.4567,1962.4111,2136.4505,1560.7909,1582.8983999999998,5638.7341,1857.6247999999998,1674.6979,1916.4527,1577.9307
82,0,11230560,35355.2279,1037.5432,1405.3506,1117.456,2290.0427,1238.4004,3264.5079,2723.9307,2987.9814,2426.8047,1582.993,1390.8966,3827.821,2564.6437,2618.5187,2616.6746,1962.6506
83,0,11230570,14689.1328,516.9108,740.1345,551.1125000000001,1108.5659,775.7964,865.0088000000001,912.4225,1089.508,1059.7338,672.7008,795.5547,1027.1839,1062.2006999999999,1171.4526,1012.9843,973.4925000000001
84,0,11230600,24942.4703,1005.6996,877.3436,1246.282,1525.9393,865.7405,1363.6211,1898.5713,2340.2814,1687.3358,1120.4667,914.732,1891.3381,2377.3821,2231.1924,1762.9929,1311.0656000000001
85,0,11230610,23464.4119,914.464,1052.8496,623.894,1979.7815,826.8699,1107.9477,1728.7406,1981.4425,1694.7654,1246.1759,783.9218,1276.7611,2060.3605000000002,2116.4861,1835.5508,1584.1058
86,0,11230650,36138.7193,1044.4582,1379.7408,1262.7311,2075.0734,1002.5827,2119.2067,3389.934,3631.2165,2589.8903,1758.925,1133.2468999999999,2738.918,3603.3487999999998,3378.4058999999997,2385.5645,2011.9446
87,0,11230660,29351.1373,1296.5251,1209.1101,1469.9783,1902.7484,1261.093,1634.7402,2045.0612,2950.0046,2209.5917,1238.2232,1329.1937,1870.2224,2430.9402,2587.2796,2091.1876,1379.1375
88,0,11230705,16816.1708,220.8556,1134.7041,243.4493,1654.2537,408.0364,1182.0309,1242.4356,1158.2495,1208.7404999999999,1124.4124,439.496,1566.3288,1077.5259,1034.1653000000001,1318.867,1226.4926
89,0,11230710,18413.949099999998,389.924,587.7271,383.6688,1018.1699,648.0799,3319.4390000000003,950.6123,850.4966,755.7985,476.3572,789.1958999999999,4958.7805,910.9042999999999,870.9049,751.1609,656.9165
90,0,11230720,16670.4613,198.2317,490.727,323.972,949.9826,455.4794,2432.4205,1138.201,893.1541,910.5218,587.8183,524.9154,3790.1556,1152.2654,895.6069,941.8012,613.9558999999999
91,0,11230730,20370.8219,454.1318,798.7991000000001,452.0983,1303.9765,812.9899,2579.927,1260.5405,1305.2735,1247.9799,783.605,943.7502000000001,3209.3208,1206.4882,1266.4702,1272.0606,981.1745
92,0,11230740,22870.2743,238.728,627.9563,244.0728,1030.0698,813.7945,4437.6366,1151.0396,1011.0068,1053.9701,582.7904,1034.1579,6147.4008,977.4057,925.7865,995.7629000000001,634.6151
93,0,11230750,15515.4181,537.61,774.5305,524.8652,1282.4264,787.0681999999999,1011.6788,779.002,1255.0012,1182.8373,778.909,698.4626,1233.5031999999999,989.8982,1240.9158,1176.2004,790.3611
94,0,11260520,21416.6881,864.3845,840.5112,681.8697,1638.2989,862.5263,1134.2313,1558.4807,1857.3812,1815.785,1225.8051,839.2242,1470.2613000000001,1587.2715,1504.0677,1780.4394,1392.3095
